name,count
방배본동,108
대학동,91
성수1가2동,92
능동,110
시흥5동,93
고척1동,72
성내1동,49
문정2동,168
공항동,71
시흥1동,71
천연동,63
무악동,74
세곡동,69
방화2동,75
성수2가3동,125
중화2동,83
일원1동,98
충현동,106
서림동,64
월계1동,66
망우3동,68
삼전동,71
신길6동,76
사당1동,81
은천동,81
삼청동,278
중림동,196
갈현2동,50
대조동,78
광희동,267
효창동,66
명일1동,62
신정4동,74
대림2동,87
성산1동,70
대림3동,57
용문동,62
대치4동,147
상도2동,60
방이2동,91
홍은2동,50
홍제2동,52
중곡3동,69
도봉1동,82
독산1동,92
가회동,168
구로3동,113
교남동,90
둔촌2동,56
도곡1동,99
평창동,60
일원본동,48
구로2동,67
제기동,120
송중동,85
개포1동,108
구로5동,86
사당5동,52
화곡6동,97
휘경2동,75
도림동,78
용답동,134
연희동,93
양재1동,57
왕십리2동,67
금호4가동,65
응암3동,47
약수동,175
정릉3동,58
등촌1동,77
화곡3동,64
행운동,71
동화동,199
방학1동,75
남가좌1동,72
성수2가1동,86
당산2동,65
창신1동,122
다산동,173
남영동,143
청구동,139
암사3동,58
장안2동,71
북가좌1동,55
목2동,55
이문1동,98
정릉2동,50
길음1동,62
석관동,54
전농1동,87
방배4동,98
가리봉동,106
반포4동,149
남현동,65
개봉2동,52
화곡8동,61
금호1가동,56
잠실6동,77
상계1동,59
휘경1동,102
잠실7동,41
양평1동,88
구로1동,45
남가좌2동,70
면목5동,84
오금동,50
신월5동,52
응암1동,52
방배1동,99
상계2동,89
가락2동,49
답십리2동,56
반포1동,79
우장산동,48
상봉1동,64
암사1동,71
시흥2동,52
망원2동,74
가락1동,65
원효로2동,69
문정1동,58
중계1동,46
위례동,65
방화3동,48
왕십리도선동,70
수색동,70
불광2동,81
신길3동,67
서빙고동,75
창신3동,57
개포4동,88
신수동,73
상계5동,41
자양2동,48
우이동,62
신월3동,59
자양3동,82
양재2동,131
발산1동,58
신월1동,68
염창동,53
창3동,65
홍제3동,77
신대방1동,59
창1동,40
낙성대동,102
공덕동,54
잠실3동,49
목1동,87
등촌2동,47
미성동,39
장충동,239
중계4동,58
송파2동,52
쌍문1동,69
안암동,151
시흥3동,104
성내2동,94
개봉1동,65
망우본동,77
천호2동,74
삼선동,68
사당2동,63
노량진2동,71
신월4동,59
방학2동,77
동선동,140
군자동,118
종로5.6가동,266
둔촌1동,150
대치2동,98
사근동,117
황학동,177
신당5동,209
중곡1동,86
필동,284
서초2동,83
개포2동,88
한강로동,150
신길5동,92
신길1동,72
청룡동,77
구의1동,110
상일동,65
장안1동,48
자양4동,102
길동,82
보문동,46
조원동,89
이태원2동,160
구의2동,66
숭인1동,95
용강동,70
보광동,81
공릉2동,65
당산1동,101
반포3동,66
오류1동,65
목4동,59
청파동,73
원효로1동,89
장위2동,69
중앙동,95
신정2동,56
풍납1동,64
갈현1동,103
홍제1동,55
천호3동,70
성북동,75
수서동,116
홍은1동,71
면목7동,68
쌍문3동,71
구로4동,62
인헌동,65
가락본동,63
삼각산동,45
거여1동,60
중계본동,58
아현동,61
염리동,66
거여2동,49
구산동,48
잠원동,72
송천동,40
창2동,48
이촌2동,62
대방동,77
상계8동,38
숭인2동,79
성내3동,65
방화1동,39
청림동,41
신사동(관악),108
증산동,62
청운효자동,79
대흥동,127
신사2동,45
월계2동,77
양평2동,94
신정3동,56
고덕1동,64
보라매동,81
답십리1동,45
신정7동,33
성산2동,67
신정1동,56
고덕2동,76
부암동,85
수유1동,36
삼성동,55
길음2동,83
진관동,67
도곡2동,66
면목3.8동,72
서원동,81
북가좌2동,63
중곡4동,73
독산3동,73
가양2동,62
번3동,55
오류2동,48
응봉동,39
고척2동,61
묵1동,54
신사1동,42
미아동,54
면목2동,66
월곡2동,71
화곡1동,65
강일동,43
창신2동,66
화곡2동,39
상도1동,52
상계9동,45
녹번동,55
장지동,48
내곡동,61
쌍문2동,61
공릉1동,78
상계3.4동,63
성현동,32
신월7동,60
목5동,45
응암2동,40
돈암2동,36
수유2동,41
송정동,88
석촌동,60
돈암1동,50
마천1동,51
행당2동,67
사직동,146
신월6동,69
신원동,43
상도3동,56
수유3동,38
삼양동,55
정릉4동,72
방배2동,69
용신동,83
독산4동,49
시흥4동,60
창4동,51
이문2동,70
등촌3동,83
금호2.3가동,61
반포본동,64
중계2.3동,61
사당3동,47
마장동,58
난향동,56
마천2동,55
개봉3동,53
묵2동,69
중화1동,39
월계3동,31
도봉2동,60
신대방2동,54
장위1동,57
전농2동,64
신월2동,50
면목본동,76
방배3동,61
화곡4동,78
북아현동,69
신내1동,45
광장동,59
청량리동,79
월곡1동,43
신길7동,54
번1동,29
구의3동,67
용산2가동,96
중곡2동,94
영등포본동,84
목3동,44
불광1동,41
옥수동,66
쌍문4동,42
신길4동,59
종암동,57
장위3동,48
창5동,62
상도4동,52
신정6동,36
면목4동,43
사당4동,58
하계1동,51
일원2동,61
신내2동,48
상계10동,51
이촌1동,63
인수동,42
가양3동,50
반포2동,69
암사2동,61
후암동,56
독산2동,65
신도림동,59
수궁동,50
상계6.7동,61
잠실4동,37
상봉2동,73
천호1동,46
방학3동,37
명일2동,58
난곡동,45
정릉1동,60
역촌동,44
하계2동,34
번2동,43
오륜동,33
풍납2동,77
잠실2동,59
